SITE_ID,VISIT_NO,MCYST_TL_UGL,CYANDENS
NLA06608-0001,1,0.05,30.11696365
NLA06608-0002,1,0.05,6047.380714
NLA06608-0002,2,0.05,5429.894541
NLA06608-0003,1,0.05,38410.15873
NLA06608-0003,2,0.05,61137.77778
NLA06608-0004,1,0.05,522.5042343
NLA06608-0004,2,0.05,8650.262664
NLA06608-0005,1,0.05,70.02710027
NLA06608-0005,2,0.05,4672.592593
NLA06608-0006,1,0.18,1191.150747
NLA06608-0006,2,0.57,4151.100596
NLA06608-0007,1,0.05,3618.092727
NLA06608-0007,2,0.05,7579.953131
NLA06608-0008,1,0.05,3499.752278
NLA06608-0008,2,0.05,4020.631743
NLA06608-0010,1,0.05,2073.955556
NLA06608-0010,2,0.05,2919.901235
NLA06608-0012,1,0.05,968.0589681
NLA06608-0012,2,0.78,12420.57143
NLA06608-0013,1,0.05,202.6748971
NLA06608-0013,2,0.05,12225.23028
NLA06608-0014,1,0.05,7714.169637
NLA06608-0014,2,0.05,3473.908099
NLA06608-0015,1,0.05,3681.777778
NLA06608-0015,2,0.05,8039.111111
NLA06608-0016,1,0.29,1069.203429
NLA06608-0016,2,1.3,4705.77557
NLA06608-0019,1,0.88,610.246695
NLA06608-0019,2,20,181649.9085
NLA06608-0020,1,0.05,1781.777778
NLA06608-0020,2,0.05,16703.11111
NLA06608-0021,1,0.05,790.7806797
NLA06608-0021,2,1.5,6071.283405
NLA06608-0023,1,0.05,7408.592593
NLA06608-0023,2,0.05,5708.444444
NLA06608-0024,1,0.26,18442.66667
NLA06608-0024,2,0.2,26201.90476
NLA06608-0025,1,0.05,3206.290598
NLA06608-0025,2,0.05,2017.015873
NLA06608-0029,1,0.17,46172.03062
NLA06608-0029,2,0.05,88240.76602
NLA06608-0031,1,0.05,15791.11111
NLA06608-0031,2,0.05,532
NLA06608-0033,1,0.05,16313.35531
NLA06608-0033,2,0.05,5146.569738
NLA06608-0036,1,0.05,16287.64444
NLA06608-0036,2,0.05,7549.333333
NLA06608-0037,1,0.14,4268.622158
NLA06608-0037,2,0.05,8660.74155
NLA06608-0038,1,0.05,1593.512705
NLA06608-0038,2,0.05,5007.613674
NLA06608-0041,1,0.05,43.15763575
NLA06608-0041,2,0.05,249.3183419
NLA06608-0042,1,0.05,11.63431989
NLA06608-0042,2,0.05,25.2076931
NLA06608-0043,1,0.05,3369.567692
NLA06608-0043,2,0.05,12357.61907
NLA06608-0044,1,0.05,14879.21418
NLA06608-0044,2,0.05,1254.873485
NLA06608-0045,1,0.05,253339.6667
NLA06608-0045,2,0.05,122849.7778
NLA06608-0048,1,0.05,154964.9383
NLA06608-0048,2,0.05,103417.9048
NLA06608-0049,1,0.05,482.5396825
NLA06608-0050,1,0.05,520.1777778
NLA06608-0050,2,0.05,945.7777778
NLA06608-0053,1,0.05,184.2499065
NLA06608-0053,2,0.05,179.2701793
NLA06608-0057,1,0.17,201754.6667
NLA06608-0057,2,0.27,241578.6667
NLA06608-0061,1,0.05,2881.255568
NLA06608-0061,2,0.05,12635.87885
NLA06608-0062,1,8.9,95660.57438
NLA06608-0062,2,2.6,29760.8509
NLA06608-0064,1,0.65,13979.91288
NLA06608-0064,2,9.6,129889.6916
NLA06608-0065,1,0.05,93.3859338
NLA06608-0065,2,0.05,22226.14902
NLA06608-0066,1,0.05,7121.009899
NLA06608-0066,2,0.05,4702.85437
NLA06608-0068,1,0.05,5.202309562
NLA06608-0068,2,0.05,3.23408375
NLA06608-0069,1,0.05,1268.170527
NLA06608-0069,2,0.05,0
NLA06608-0071,1,1.1,2146.262424
NLA06608-0071,2,0.76,2473.928474
NLA06608-0072,1,4.3,21693.77778
NLA06608-0072,2,28,9908.148148
NLA06608-0073,1,0.05,0.663963627
NLA06608-0073,2,0.05,5472
NLA06608-0076,1,0.05,25012.44444
NLA06608-0076,2,0.13,106062.2222
NLA06608-0077,1,0.05,38219.55556
NLA06608-0077,2,0.05,84555.76789
NLA06608-0078,1,15,71182.30135
NLA06608-0078,2,5,39605.12044
NLA06608-0079,1,0.05,11.00899711
NLA06608-0079,2,0.05,139.5071202
NLA06608-0080,1,0.05,3426.052315
NLA06608-0080,2,0.05,1216.381365
NLA06608-0081,1,0.05,6550.439594
NLA06608-0081,2,0.05,201472.1017
NLA06608-0083,1,1.2,2258.772274
NLA06608-0083,2,2.5,12620.03448
NLA06608-0085,1,0.14,4391.111111
NLA06608-0085,2,0.05,34383.79085
NLA06608-0086,1,0.44,52644.93051
NLA06608-0086,2,0.3,59449.63137
NLA06608-0089,1,0.05,14288
NLA06608-0089,2,0.05,18960.59259
NLA06608-0090,1,0.05,162.8098687
NLA06608-0090,2,0.05,395.7319021
NLA06608-0091,1,1.8,280946.8676
NLA06608-0091,2,1,1192234.384
NLA06608-0099,1,4.5,8843.561086
NLA06608-0099,2,2.6,4998.651184
NLA06608-0101,1,0.05,982.0022042
NLA06608-0102,1,0.05,1826.186337
NLA06608-0104,1,0.05,989.9697678
NLA06608-0104,2,0.05,426.2646485
NLA06608-0105,1,0.05,196.0952507
NLA06608-0105,2,0.05,6165.704379
NLA06608-0107,1,0.05,1841.875416
NLA06608-0110,1,0.05,4633.185185
NLA06608-0111,1,0.13,8189.811966
NLA06608-0112,1,0.58,71898.4127
NLA06608-0113,1,0.05,418.297085
NLA06608-0115,1,0.05,101.7175988
NLA06608-0116,1,0.05,3233.659259
NLA06608-0120,1,0.05,10756.21076
NLA06608-0120,2,0.05,5378.105378
NLA06608-0124,1,0.2,51780.04277
NLA06608-0126,1,0.9,79758.28241
NLA06608-0126,2,3.2,63564.16847
NLA06608-0127,1,0.05,2191.048943
NLA06608-0128,1,0.05,147.6321748
NLA06608-0128,2,1.6,78339.95902
NLA06608-0129,1,0.05,1123.7673
NLA06608-0129,2,0.05,864.8452399
NLA06608-0130,1,0.05,18823.10228
NLA06608-0132,1,0.05,3359.400893
NLA06608-0134,1,0.05,313.0588501
NLA06608-0137,1,0.05,361.620915
NLA06608-0139,1,0.16,627.4367427
NLA06608-0140,1,0.05,318.7025409
NLA06608-0141,1,0.1,996.9413858
NLA06608-0142,1,0.05,490.1368946
NLA06608-0144,1,0.05,18560.88889
NLA06608-0144,2,0.05,162615.873
NLA06608-0148,1,0.05,3838.276074
NLA06608-0149,1,0.05,5367.149978
NLA06608-0150,1,0.47,2985.448026
NLA06608-0152,1,0.1,11015.15657
NLA06608-0153,1,0.05,42361.08642
NLA06608-0155,1,0.29,1621.333333
NLA06608-0158,1,0.11,1427.681215
NLA06608-0161,1,0.05,9274.741914
NLA06608-0162,1,0.05,793.7777778
NLA06608-0167,1,1.6,36480
NLA06608-0167,2,1.3,67555.55556
NLA06608-0168,1,1.9,10539.09465
NLA06608-0169,1,0.05,15599.21944
NLA06608-0169,2,0.32,111027.5625
NLA06608-0170,1,0.38,362.1728395
NLA06608-0173,1,0.36,6483.604817
NLA06608-0174,1,0.42,21361.62963
NLA06608-0174,2,0.8,45563.62393
NLA06608-0175,1,0.05,6637.333333
NLA06608-0176,1,0.05,1682.151849
NLA06608-0177,1,0.05,8208.58232
NLA06608-0179,1,0.12,2414.267467
NLA06608-0179,2,0.05,41410.82502
NLA06608-0180,1,0.14,4342.32212
NLA06608-0181,1,0.13,6986.803419
NLA06608-0183,1,0.05,36061.12288
NLA06608-0184,1,0.05,1485.950597
NLA06608-0185,1,0.15,59.75672642
NLA06608-0189,1,1.7,3386.214497
NLA06608-0189,2,0.05,115390.2387
NLA06608-0190,1,0.05,1089.333333
NLA06608-0191,1,0.05,8327.521368
NLA06608-0193,1,0.05,0
NLA06608-0195,1,0.19,42292.62801
NLA06608-0196,1,0.05,104711.1111
NLA06608-0198,1,0.05,1860.426083
NLA06608-0201,1,0.05,490.3601533
NLA06608-0203,1,0.05,101.5864349
NLA06608-0204,1,1,5975.672642
NLA06608-0207,1,0.05,5814.329481
NLA06608-0207,2,0.05,13754.00653
NLA06608-0208,1,1.5,56549.78211
NLA06608-0209,1,0.05,30995.37509
NLA06608-0209,2,0.05,142720.9444
NLA06608-0211,1,3.3,3571.460349
NLA06608-0212,1,0.05,4853.407745
NLA06608-0215,1,6.1,32922.07407
NLA06608-0216,1,0.3,18886.55094
NLA06608-0217,1,0.54,73072.59259
NLA06608-0219,1,3.4,70691.20634
NLA06608-0220,1,28,101842.8902
NLA06608-0221,1,0.05,54973.33333
NLA06608-0222,1,0.05,138036.0834
NLA06608-0223,1,0.05,6732.591177
NLA06608-0223,2,0.05,13196.27709
NLA06608-0224,1,0.05,18337.58025
NLA06608-0224,2,0.12,12652.59259
NLA06608-0225,1,0.05,3387.178041
NLA06608-0225,2,0.05,102.4386519
NLA06608-0226,1,0.05,1243.636364
NLA06608-0228,1,0.05,567.7165275
NLA06608-0228,2,0.11,16053.39607
NLA06608-0229,1,0.05,2166.181333
NLA06608-0234,1,0.31,11414.63704
NLA06608-0235,1,0.81,22520.49737
NLA06608-0237,1,0.05,248.9863601
NLA06608-0237,2,0.05,247.7037037
NLA06608-0238,1,0.05,2603.140741
NLA06608-0239,1,0.05,872.4482058
NLA06608-0240,1,0.05,2289.109875
NLA06608-0241,1,0.05,275295.6444
NLA06608-0242,1,0.05,1263.356791
NLA06608-0243,1,0.05,4363.256824
NLA06608-0244,1,0.05,12400.19753
NLA06608-0245,1,0.05,514.9037927
NLA06608-0247,1,0.85,120274.7971
NLA06608-0253,1,0.1,116764.6434
NLA06608-0254,1,1.3,37432.60908
NLA06608-0255,1,0.05,53.94704469
NLA06608-0257,1,0.05,982.9842302
NLA06608-0259,1,0.13,26993.12965
NLA06608-0260,1,0.05,5832.296296
NLA06608-0268,1,0.05,19861.33333
NLA06608-0271,1,0.05,17687.99102
NLA06608-0275,1,2.3,5575.821187
NLA06608-0276,1,0.05,0
NLA06608-0277,1,0.05,19445.86667
NLA06608-0279,1,3.6,59035.11111
NLA06608-0280,1,1,16987.15152
NLA06608-0281,1,0.17,58840.88889
NLA06608-0283,1,0.05,3766.665656
NLA06608-0284,1,0.05,211223.7037
NLA06608-0285,1,0.19,72345.47679
NLA06608-0286,1,0.05,13818.48889
NLA06608-0290,1,1.1,349.1784714
NLA06608-0290,2,0.05,7170.807171
NLA06608-0291,1,0.05,315.5348252
NLA06608-0293,1,0.05,9395.749285
NLA06608-0294,1,0.05,1661.900958
NLA06608-0295,1,0.71,1487.51857
NLA06608-0297,1,0.05,1205.093983
NLA06608-0299,1,0.25,7934.460475
NLA06608-0302,1,3.7,116297.2457
NLA06608-0303,1,0.35,2279.719113
NLA06608-0306,1,0.05,NA
NLA06608-0312,1,0.05,4137.157359
NLA06608-0313,1,0.05,102279.1111
NLA06608-0318,1,0.1,3422.814815
NLA06608-0319,1,0.05,1326.599327
NLA06608-0324,1,0.05,21871.11111
NLA06608-0325,1,0.4,16592.45104
NLA06608-0326,1,0.05,143.7481252
NLA06608-0327,1,0.05,639.3969727
NLA06608-0328,1,0.05,3172.086228
NLA06608-0328,2,0.17,35226.59023
NLA06608-0330,1,0.05,1067.753086
NLA06608-0332,1,0.05,7018.271605
NLA06608-0333,1,0.05,4125.111111
NLA06608-0334,1,2,9015.275303
NLA06608-0337,1,0.05,22752.83767
NLA06608-0339,1,1.5,15595.76961
NLA06608-0340,1,0.05,310.1414141
NLA06608-0341,1,0.26,729.0320624
NLA06608-0343,1,12,215474.9866
NLA06608-0344,1,0.56,15122.83431
NLA06608-0345,1,0.05,80673.61616
NLA06608-0350,1,0.13,19359.32465
NLA06608-0354,1,0.75,1354.983772
NLA06608-0356,1,0.05,41566.7789
NLA06608-0357,1,0.05,3501.744168
NLA06608-0358,1,0.05,191.5535064
NLA06608-0359,1,0.14,131270.6785
NLA06608-0361,1,0.05,7819.555556
NLA06608-0363,1,0.76,1984.444444
NLA06608-0366,1,0.05,1544.77037
NLA06608-0367,1,3.5,4841.481482
NLA06608-0369,1,0.05,2333.500167
NLA06608-0372,1,0.05,9837.942286
NLA06608-0373,1,0.05,516.2317199
NLA06608-0376,1,0.05,24406.85714
NLA06608-0377,1,0.46,80472.39158
NLA06608-0378,1,0.05,87.84114398
NLA06608-0384,1,0.05,288.2817466
NLA06608-0385,1,0.05,19142.07136
NLA06608-0386,1,0.05,447.5114846
NLA06608-0388,1,0.05,1295.924207
NLA06608-0388,2,0.05,1515.330988
NLA06608-0393,1,0.05,13497.05261
NLA06608-0395,1,0.05,4286.549175
NLA06608-0399,1,0.15,1976
NLA06608-0401,1,0.43,9113.472922
NLA06608-0402,1,1.2,0
NLA06608-0402,2,1.8,18949.33333
NLA06608-0403,1,0.05,1147.329147
NLA06608-0405,1,0.17,478.8007705
NLA06608-0406,1,0.05,238.4313726
NLA06608-0407,1,0.77,5284.770506
NLA06608-0408,1,0.05,122.1693074
NLA06608-0413,1,0.05,10180.62222
NLA06608-0414,1,0.05,0
NLA06608-0418,1,0.05,986.0512821
NLA06608-0421,1,0.05,445.1876119
NLA06608-0425,1,1.7,24302.61154
NLA06608-0426,1,0.53,5787.259259
NLA06608-0432,1,0.05,717.0807171
NLA06608-0433,1,0.05,201.8449426
NLA06608-0435,1,0.69,51621.68138
NLA06608-0436,1,0.05,3868.252091
NLA06608-0439,1,7.8,963429.1184
NLA06608-0440,1,0.05,2116.078431
NLA06608-0442,1,2.1,3502.331326
NLA06608-0444,1,0.05,42676.26212
NLA06608-0445,1,0.05,3960.444444
NLA06608-0447,1,0.05,576.1544373
NLA06608-0449,1,0.05,2635.234319
NLA06608-0452,1,0.05,54.84482196
NLA06608-0453,1,0.05,4521.592299
NLA06608-0454,1,0.05,350.572795
NLA06608-0456,1,0.26,22315.85185
NLA06608-0458,1,0.41,22563.14395
NLA06608-0459,1,0.33,4525.576081
NLA06608-0462,1,0.05,3031.555556
NLA06608-0463,1,0.21,36682.66667
NLA06608-0467,1,0.12,49262.06964
NLA06608-0468,1,0.05,8.602900079
NLA06608-0469,1,0.05,464.8575343
NLA06608-0470,1,0.05,466.3512545
NLA06608-0471,1,0.32,21449.90835
NLA06608-0472,1,1.5,589.5997007
NLA06608-0473,1,0.52,36547.55556
NLA06608-0479,1,0.05,710.109099
NLA06608-0480,1,0.13,204.9987698
NLA06608-0480,2,0.21,22.51851852
NLA06608-0483,1,0.05,238.4313726
NLA06608-0484,1,2.5,80113.85123
NLA06608-0488,1,0.05,830.6184973
NLA06608-0489,1,1.8,25400.88889
NLA06608-0491,1,1.2,2288.682622
NLA06608-0493,1,0.29,38363.11111
NLA06608-0494,1,0.05,2784.068376
NLA06608-0495,1,0.05,614.3548322
NLA06608-0496,1,0.38,0
NLA06608-0497,1,0.05,21032.2963
NLA06608-0498,1,0.05,15184.18418
NLA06608-0500,1,0.05,3872.235872
NLA06608-0501,1,0.05,58.09681736
NLA06608-0502,1,1.8,790.0246914
NLA06608-0503,1,2.8,135127.0585
NLA06608-0508,1,0.05,8598.328969
NLA06608-0509,1,0.05,2430.106875
NLA06608-0510,1,1.2,26270.50362
NLA06608-0511,1,0.05,4052.505928
NLA06608-0512,1,2.3,24920.15063
NLA06608-0514,1,0.05,14287.83329
NLA06608-0515,1,2.4,5137.706661
NLA06608-0523,1,0.41,73713.69732
NLA06608-0526,1,0.05,3715.555556
NLA06608-0528,1,0.05,1025.437662
NLA06608-0529,1,3.5,34214.50972
NLA06608-0530,1,0.55,474.7339933
NLA06608-0531,1,0.91,411.7553624
NLA06608-0533,1,0.05,614.4983367
NLA06608-0537,1,0.05,643.3807545
NLA06608-0540,1,0.38,6596.601307
NLA06608-0541,1,0.05,11513.39683
NLA06608-0542,1,0.05,2626.102977
NLA06608-0546,1,0.05,109.5539984
NLA06608-0547,1,0.75,4692.775589
NLA06608-0550,1,0.05,40.83376306
NLA06608-0551,1,0.94,16544.35556
NLA06608-0555,1,0.05,25615.78702
NLA06608-0558,1,0.05,2581.587302
NLA06608-0560,1,0.05,72408.2963
NLA06608-0561,1,0.05,3.555555556
NLA06608-0562,1,0.05,4196.914086
NLA06608-0562,2,0.05,6009.534787
NLA06608-0564,1,0.05,10005.7284
NLA06608-0565,1,0.05,6652.915542
NLA06608-0569,1,1,12945.01069
NLA06608-0570,1,0.05,7926.617516
NLA06608-0579,1,0.92,10008.38121
NLA06608-0580,1,0.05,1981.62963
NLA06608-0581,1,0.05,4480.246914
NLA06608-0582,1,0.05,1065.661621
NLA06608-0583,1,0.05,13279.27254
NLA06608-0585,1,0.05,59.75672642
NLA06608-0587,1,0.31,22117.14518
NLA06608-0587,2,0.17,187832.8418
NLA06608-0588,1,0.05,39.83781762
NLA06608-0590,1,0.05,13136.55191
NLA06608-0591,1,0.27,4977.735311
NLA06608-0593,1,0.05,5096.716925
NLA06608-0594,1,0.14,14859.50597
NLA06608-0595,1,0.05,165996.2332
NLA06608-0596,1,0.05,19.05205363
NLA06608-0597,1,0.05,7951.851852
NLA06608-0599,1,0.05,52896
NLA06608-0606,1,0.1,65618.36466
NLA06608-0608,1,0.05,252657.7778
NLA06608-0609,1,6.3,180186.4491
NLA06608-0610,1,0.05,699.6825397
NLA06608-0611,1,1.2,139726.7895
NLA06608-0614,1,0.05,1259.428571
NLA06608-0616,1,0.05,22100.8
NLA06608-0617,1,0.05,3041.147477
NLA06608-0618,1,0.05,1732.945066
NLA06608-0619,1,0.05,8444.444444
NLA06608-0622,1,0.05,5448.777778
NLA06608-0623,1,0.05,14355.55556
NLA06608-0624,1,0.05,14769.33333
NLA06608-0625,1,0.05,127.8730159
NLA06608-0627,1,0.5,4259.72014
NLA06608-0628,1,0.05,21475.16049
NLA06608-0630,1,0.11,1018.962963
NLA06608-0632,1,0.05,322.6863227
NLA06608-0634,1,2.6,155425.0446
NLA06608-0635,1,0.05,2419.476169
NLA06608-0637,1,0.05,45179.17675
NLA06608-0641,1,0.05,74508.1132
NLA06608-0648,1,0.82,14158.2465
NLA06608-0649,1,0.05,5792.888889
NLA06608-0650,1,0.05,19552.72727
NLA06608-0651,1,0.05,3591.379258
NLA06608-0654,1,0.05,13999.52779
NLA06608-0657,1,0.05,22485.67097
NLA06608-0658,1,0.05,688.4232804
NLA06608-0659,1,0.05,18371.34783
NLA06608-0660,1,0.05,3664.548267
NLA06608-0661,1,0.18,18843.28773
NLA06608-0662,1,0.05,11814.42735
NLA06608-0663,1,9,334782.3191
NLA06608-0665,1,0.05,11237.86667
NLA06608-0671,1,0.05,17.51151484
NLA06608-0672,1,0.13,1469333.333
NLA06608-0674,1,0.05,1014.20444
NLA06608-0677,1,1.2,NA
NLA06608-0678,1,0.05,274.7259259
NLA06608-0679,1,0.86,226.7936508
NLA06608-0681,1,0.05,2513.102328
NLA06608-0686,1,0.05,1596
NLA06608-0687,1,0.05,7283.97065
NLA06608-0690,1,0.05,848.5455152
NLA06608-0690,2,0.05,2031.728698
NLA06608-0692,1,0.05,15235.45116
NLA06608-0693,1,0.05,4021.129716
NLA06608-0696,1,0.05,1032.795422
NLA06608-0707,1,0.05,847.5456
NLA06608-0709,1,3.6,61429.91476
NLA06608-0710,1,0.05,691.18613559999994
NLA06608-0711,1,0.05,573.6645737
NLA06608-0712,1,0.05,2589.62963
NLA06608-0713,1,0.05,11154.61438
NLA06608-0715,1,0.05,5132.332595
NLA06608-0717,1,0.9,2484.883874
NLA06608-0718,1,0.05,9693.545182
NLA06608-0720,1,0.05,50.79321746
NLA06608-0721,1,0.05,32987.02083
NLA06608-0723,1,0.05,3555.474875
NLA06608-0724,1,0.05,2113.677527
NLA06608-0726,1,0.05,244.3921569
NLA06608-0727,1,0.05,163996.2786
NLA06608-0731,1,0.14,5325.168252
NLA06608-0733,1,0.05,177333.3333
NLA06608-0734,1,0.05,41085.03704
NLA06608-0738,1,0.05,253.3333333
NLA06608-0743,1,0.05,10180.24691
NLA06608-0744,1,0.05,8369.925481
NLA06608-0749,1,0.05,289002.6667
NLA06608-0751,1,0.05,3.651799948
NLA06608-0753,1,0.46,3250.765917
NLA06608-0754,1,0.05,2388.775139
NLA06608-0755,1,0.05,25301.75144
NLA06608-0756,1,0.05,2227.597968
NLA06608-0759,1,1.7,36547.55556
NLA06608-0761,1,1.8,5031.516365
NLA06608-0762,1,192,251946.212
NLA06608-0764,1,0.05,836.5823236
NLA06608-0765,1,0.05,38.84187218
NLA06608-0766,1,6.2,90840.59767
NLA06608-0769,1,0.14,54593.33333
NLA06608-0770,1,0.05,66.04597292
NLA06608-0771,1,3.6,13422.44444
NLA06608-0775,1,0.05,3077.530864
NLA06608-0779,1,0.14,147978.5426
NLA06608-0781,1,0.05,4391.111111
NLA06608-0782,1,0.05,12503.40741
NLA06608-0783,1,0.05,1705.058594
NLA06608-0785,1,0.05,1254.873485
NLA06608-0792,1,0.05,915.7530864
NLA06608-0793,1,0.05,836.5941699
NLA06608-0794,1,0.05,11.63431989
NLA06608-0794,2,0.05,18.16246605
NLA06608-0797,1,0.05,2744.444444
NLA06608-0802,1,0.05,1199.11831
NLA06608-0804,1,0.05,197.7781654
NLA06608-0805,1,0.05,2699.012144
NLA06608-0806,1,0.05,5577.294466
NLA06608-0807,1,3.1,40469.6699
NLA06608-0808,1,0.11,129098.6667
NLA06608-0809,1,0.05,814.5669993
NLA06608-0811,1,0.05,33238.84403
NLA06608-0812,1,0.05,2067.582734
NLA06608-0815,1,0.05,8455.576789
NLA06608-0820,1,0.05,40236.19579
NLA06608-0823,1,0.05,1965.846356
NLA06608-0824,1,0.05,12286.66667
NLA06608-0825,1,15,93426.09016
NLA06608-0827,1,0.05,577.6890929
NLA06608-0828,1,0.28,7469.590803
NLA06608-0830,1,0.05,17744.69538
NLA06608-0831,1,0.05,86.64725331
NLA06608-0833,1,0.05,0
NLA06608-0834,1,0.05,12748.98062
NLA06608-0836,1,0.05,1746.64823
NLA06608-0837,1,0.05,0
NLA06608-0842,1,0.05,104.7525623
NLA06608-0843,1,0.05,827.630661
NLA06608-0846,1,1.3,41534.68617
NLA06608-0847,1,78,41799.83013
NLA06608-0849,1,0.05,0
NLA06608-0850,1,0.05,1932.051179
NLA06608-0851,1,0.12,0
NLA06608-0856,1,0.05,2840.436396
NLA06608-0857,1,0.16,18915.55556
NLA06608-0859,1,1.3,24783.16768
NLA06608-0860,1,0.05,40.16979943
NLA06608-0860,2,0.05,64.40447181
NLA06608-0862,1,0.05,2228.062235
NLA06608-0863,1,0.1,306.7511956
NLA06608-0864,1,0.05,738.2406324
NLA06608-0865,1,0.75,36591.03548
NLA06608-0868,1,1.3,2947.998504
NLA06608-0869,1,0.05,1201.110201
NLA06608-0870,1,0.05,190.974359
NLA06608-0871,1,0.92,211448.8889
NLA06608-0872,1,0.05,623.4618457
NLA06608-0873,1,0.05,1029.176815
NLA06608-0874,1,0.05,0
NLA06608-0875,1,0.52,63461.68889
NLA06608-0877,1,0.05,9900.582719
NLA06608-0878,1,0.6,5201.777778
NLA06608-0880,1,0.05,5045.723621
NLA06608-0881,1,0.05,336.1315861
NLA06608-0885,1,0.05,796.7563523
NLA06608-0889,1,0.05,1474.962963
NLA06608-0890,1,0.05,3193.447619
NLA06608-0891,1,0.12,6117.5082410000005
NLA06608-0893,1,0.05,93.6188714
NLA06608-0895,1,0.05,0
NLA06608-0899,1,12,48091.18093
NLA06608-0900,1,0.05,8962.37037
NLA06608-0904,1,0.05,6940.743774
NLA06608-0905,1,0.05,3721.989418
NLA06608-0906,1,0.05,0
NLA06608-0913,1,0.32,6402.407636
NLA06608-0914,1,0.05,3874.874875
NLA06608-0915,1,0.05,6223.555556
NLA06608-0916,1,0.05,0
NLA06608-0918,1,0.05,11040.6799
NLA06608-0921,1,0.28,69751.11111
NLA06608-0922,1,0.05,1.745147984
NLA06608-0924,1,225,218870.8504
NLA06608-0925,1,0.05,218.1120515
NLA06608-0926,1,0.05,427.4208984
NLA06608-0927,1,0.05,1948.052692
NLA06608-0929,1,0.05,11.97833782
NLA06608-0930,1,0.05,671.8024691
NLA06608-0933,1,0.05,746.9590803
NLA06608-0934,1,0.05,226.9444444
NLA06608-0935,1,1.4,141657.2444
NLA06608-0938,1,2.4,22800
NLA06608-0940,1,0.05,3686.190863
NLA06608-0942,1,0.05,5394.68642
NLA06608-0943,1,0.05,1673.18834
NLA06608-0944,1,0.05,2892.091236
NLA06608-0946,1,0.05,826.6347155
NLA06608-0950,1,0.05,65.34609672
NLA06608-0955,1,0.05,166.7149107
NLA06608-0957,1,0.05,75.02788984
NLA06608-0958,1,0.21,22847.85185
NLA06608-0961,1,0.05,6355.047619
NLA06608-0962,1,0.05,0
NLA06608-0967,1,0.05,25389.79819
NLA06608-0968,1,0.05,1978.94359
NLA06608-0970,1,0.05,1.163431989
NLA06608-0971,1,0.05,26412.09907
NLA06608-0972,1,0.05,66.39636269
NLA06608-0974,1,0.05,8871.358025
NLA06608-0979,1,0.05,964.2982726
NLA06608-0980,1,1.3,47086.22222
NLA06608-0982,1,0.05,3276.660499
NLA06608-0984,1,0.11,1017.85624
NLA06608-0986,1,0.05,1071.637294
NLA06608-0987,1,0.68,38352.0709
NLA06608-0989,1,0.05,19971.11111
NLA06608-0990,1,0.05,51530.4127
NLA06608-0993,1,0.05,575.9884464
NLA06608-0994,1,0.05,6094.777778
NLA06608-0996,1,0.05,1934.545455
NLA06608-0997,1,0.05,3785.588619
NLA06608-1001,1,0.05,1695.09914
NLA06608-1002,1,0.33,2615.762145
NLA06608-1003,1,0.11,15865
NLA06608-1005,1,0.05,21190.58824
NLA06608-1006,1,0.52,2244.489161
NLA06608-1007,1,0.05,NA
NLA06608-1008,1,0.05,1345.6515669999999
NLA06608-1010,1,0.58,2914.136359
NLA06608-1012,1,0.05,10838.44444
NLA06608-1014,1,0.05,1236.560387
NLA06608-1015,1,0.4,3127.268683
NLA06608-1016,1,0.05,16642.24831
NLA06608-1018,1,0.05,101376.7619
NLA06608-1022,1,4.2,74564.5825
NLA06608-1024,1,0.05,2759.441185
NLA06608-1034,1,0.05,3013.387205
NLA06608-1035,1,3.7,54816.83704
NLA06608-1036,1,0.05,2093.477316
NLA06608-1037,1,0.05,9.650793651
NLA06608-1038,1,0.05,11400
NLA06608-1039,1,0.53,5736.645737
NLA06608-1041,1,0.05,40821.80277
