SITE_ID,VISIT_NO,SECCHI_m,CLEAR_TO_BOTTOM
NLA12_CA-143,1,4.835,NA
NLA12_AZ-101,1,2.85,NA
NLA12_ND-115,1,2.2,NA
NLA12_AZ-118,1,1.55,NA
NLA12_UT-103,1,2.3,NA
NLA12_AZ-130,1,1.85,NA
NLA12_FL-101,1,0.225,NA
NLA12_UT-101,1,NA,Y
NLA12_ND-112,1,2.55,NA
NLA12_FL-123,1,5.35,NA
NLA12_FL-102,1,0.475,NA
NLA12_GA-112,1,2.345,NA
NLA12_UT-108,1,2.25,NA
NLA12_FL-107,1,5.7,NA
NLA12_FL-110,1,1.575,NA
NLA12_FL-106,1,0.725,NA
NLA12_FL-104,1,0.75,NA
NLA12_CA-168,1,0.805,NA
NLA12_OK-122,1,0.135,NA
NLA12_WI-R11,1,1.5,Y
NLA12_KS-114,1,0.775,NA
NLA12_OK-R01,1,0.85,NA
NLA12_CA-106,1,0.31,NA
NLA12_FL-114,1,1.5,NA
NLA12_PA-102,1,0.85,NA
NLA12_WI-R08,1,1.83,NA
NLA12_AL-105,1,0.425,NA
NLA12_OK-118,1,0.605,NA
NLA12_CA-172,1,12.3,NA
NLA12_AZ-127,1,0.29,NA
NLA12_KY-101,1,3.15,NA
NLA12_KY-107,1,1.1,NA
NLA12_NC-107,1,2.45,NA
NLA12_GA-101,1,1.75,NA
NLA12_AL-101,1,2.55,NA
NLA12_OK-R09,1,0.29,NA
NLA12_KY-103,1,2.55,NA
NLA12_OK-293,1,28,NA
NLA12_NM-132,1,0.1,NA
NLA12_SC-105,1,0.85,NA
NLA12_SC-112,1,NA,Y
NLA12_SC-108,1,1.05,NA
NLA12_NM-152,1,0.2,NA
NLA12_CO-110,1,0.62,NA
NLA12_ND-101,1,1.425,NA
NLA12_KY-104,1,0.15,NA
NLA12_KS-130,1,0.95,NA
NLA12_PA-108,1,3.375,NA
NLA12_NC-105,1,4.65,NA
NLA12_NM-105,1,0.3,NA
NLA12_SD-101,1,1.75,NA
NLA12_NM-104,1,2.6,NA
NLA12_KY-120,1,0.2,NA
NLA12_KY-122,1,0.65,NA
NLA12_TN-114,1,0.55,NA
NLA12_TN-113,1,0.6,NA
NLA12_TN-108,1,0.3,NA
NLA12_KY-102,1,1.35,NA
NLA12_SC-106,1,1.35,NA
NLA12_NC-109,1,3.5,NA
NLA12_NC-101,1,1.2,NA
NLA12_NC-108,1,3.125,NA
NLA12_SD-138,1,3.075,NA
NLA12_NM-117,1,3.8,NA
NLA12_KS-108,1,0.185,NA
NLA12_KY-114,1,1.4,NA
NLA12_NM-133,1,1.37,Y
NLA12_MS-107,1,0.225,NA
NLA12_MS-106,1,0.95,NA
NLA12_IA-107,1,0.165,NA
NLA12_SD-130,1,0.45,NA
NLA12_KS-109,1,1.225,NA
NLA12_SD-182,1,4.75,NA
NLA12_VA-109,1,1.3,Y
NLA12_MT-113,1,NA,Y
NLA12_KY-117,1,1.2,NA
NLA12_KS-103,1,1.23,NA
NLA12_VA-116,1,1.53,NA
NLA12_SD-166,1,NA,Y
NLA12_SC-103,1,7.35,NA
NLA12_SD-104,1,4,NA
NLA12_SD-122,1,0.325,NA
NLA12_UT-112,1,0.95,NA
NLA12_UT-128,1,0.375,NA
NLA12_PA-107,1,0.885,NA
NLA12_KS-R02,1,0.7,NA
NLA12_MO-109,1,0.765,NA
NLA12_IA-132,1,0.31,NA
NLA12_NC-116,1,0.7,NA
NLA12_MN-145,1,3.6,Y
NLA12_MN-118,1,0.175,NA
NLA12_MN-111,1,4.8,NA
NLA12_ND-104,1,0.55,NA
NLA12_ND-118,1,1.75,NA
NLA12_NM-150,1,0.24,NA
NLA12_UT-104,1,0.875,NA
NLA12_NV-106,1,0.42,NA
NLA12_NV-101,1,0.19,NA
NLA12_KS-125,1,2.75,NA
NLA12_NM-134,1,3.2,NA
NLA12_NM-138,1,2.5,NA
NLA12_NC-103,1,1.85,NA
NLA12_NM-129,1,1.2,NA
NLA12_MO-107,1,0.35,NA
NLA12_IL-R01,1,2.385,NA
NLA12_KS-138,1,2.2,NA
NLA12_OK-121,1,0.195,NA
NLA12_MN-132,1,3.35,NA
NLA12_UT-102,1,4.85,NA
NLA12_IA-105,1,0.225,NA
NLA12_NM-160,1,0.11,NA
NLA12_IL-R04,1,1.47,NA
NLA12_MS-101,1,0.475,NA
NLA12_MS-102,1,0.95,NA
NLA12_MS-104,1,0.55,NA
NLA12_PA-101,1,1.375,NA
NLA12_ND-139,1,2.9,NA
NLA12_IA-120,1,0.25,NA
NLA12_MT-104,1,3.66,NA
NLA12_SD-114,1,0.5,NA
NLA12_SD-115,1,0.275,NA
NLA12_ND-146,1,0.86,NA
NLA12_MN-120,1,2.5,NA
NLA12_MN-122,1,4,Y
NLA12_NH-108,1,1.765,NA
NLA12_OK-101,1,0.825,NA
NLA12_OK-291,1,0.375,NA
NLA12_UT-110,1,NA,Y
NLA12_VA-108,1,1.655,NA
NLA12_WV-102,1,1.925,NA
NLA12_OK-108,1,1.23,NA
NLA12_OK-135,1,0.175,NA
NLA12_CA-174,1,3.28,NA
NLA12_CA-116,1,9.605,NA
NLA12_KS-R08,1,0.6,NA
NLA12_ND-110,1,0.75,NA
NLA12_VA-125,1,3.675,NA
NLA12_KS-105,1,0.265,NA
NLA12_IL-R03,1,1.43,NA
NLA12_LA-101,1,0.875,NA
NLA12_MN-137,1,0.25,NA
NLA12_UT-109,1,1.35,NA
NLA12_NY-0104,1,0.55,NA
NLA12_ND-162,1,0.36,NA
NLA12_KS-R07,1,0.7,NA
NLA12_GA-107,1,0.46,NA
NLA12_TX-121,1,0.78,NA
NLA12_VA-114,1,0.88,NA
NLA12_WV-106,1,2.375,NA
NLA12_ND-178,1,3.9,NA
NLA12_CA-132,1,4.085,NA
NLA12_ND-163,1,0.775,NA
NLA12_NH-104,1,2.75,N
NLA12_MN-107,1,1.8,NA
NLA12_LA-134,1,0.45,NA
NLA12_IA-101,1,0.345,NA
NLA12_KS-102,1,0.91,NA
NLA12_TX-R02,1,2.01,NA
NLA12_KS-124,1,0.33,NA
NLA12_AZ-101,2,2.25,NA
NLA12_KS-R11,1,1.1,NA
NLA12_MO-119,1,0.91,NA
NLA12_NV-127,1,2.2,Y
NLA12_NV-167,1,NA,Y
NLA12_TX-144,1,1.2,NA
NLA12_LA-102,1,0.55,NA
NLA12_WI-R06,1,1.415,NA
NLA12_SD-168,1,2.15,NA
NLA12_ND-186,1,0.68,NA
NLA12_CA-157,1,2.49,NA
NLA12_LA-105,1,1.15,NA
NLA12_LA-161,1,1.25,NA
NLA12_ND-108,1,0.1,NA
NLA12_OK-134,1,0.2,NA
NLA12_TX-165,1,1.35,NA
NLA12_ND-126,1,0.3,NA
NLA12_KS-101,1,0.065,Y
NLA12_CA-121,1,2.33,NA
NLA12_IA-109,1,1.54,Y
NLA12_LA-103,1,0.25,NA
NLA12_LA-152,1,0.55,NA
NLA12_MN-102,1,2.45,NA
NLA12_MT-109,1,1.48,NA
NLA12_UT-105,1,5.55,NA
NLA12_TX-117,1,0.325,NA
NLA12_OR-110,1,2.05,NA
NLA12_OK-120,1,0.915,NA
NLA12_OK-104,1,1.3,NA
NLA12_NH-101,1,3.05,N
NLA12_MI-R08,1,1.635,NA
NLA12_SD-172,1,1.15,NA
NLA12_SD-124,1,0.45,NA
NLA12_SD-140,1,0.475,NA
NLA12_MN-108,1,4,NA
NLA12_CT-101,1,1.92,Y
NLA12_NH-R04,1,8.1075,NA
NLA12_WV-101,1,4.82,NA
NLA12_ND-155,1,1.7,Y
NLA12_NY-0101,1,8.4,NA
NLA12_OK-109,1,0.475,NA
NLA12_MT-118,1,0.7,NA
NLA12_ND-151,1,0.35,NA
NLA12_WV-115,1,2.175,NA
NLA12_NH-112,1,3.35,N
NLA12_MN-163,1,0.5,NA
NLA12_ND-173,1,1.55,NA
NLA12_LA-104,1,1.05,NA
NLA12_NV-103,1,2,Y
NLA12_NV-102,1,1.225,NA
NLA12_MN-130,1,1.55,NA
NLA12_KS-109,2,1.075,NA
NLA12_LA-154,1,0.15,NA
NLA12_LA-155,1,2.6,NA
NLA12_UT-160,1,NA,Y
NLA12_TX-101,1,0.175,NA
NLA12_MI-R09,1,6.2,NA
NLA12_MT-138,1,0.655,NA
NLA12_TX-160,1,0.45,NA
NLA12_MO-104,1,1.65,NA
NLA12_MO-117,1,2.5,NA
NLA12_CO-124,1,3.675,NA
NLA12_LA-106,1,0.65,NA
NLA12_LA-109,1,0.25,NA
NLA12_TX-195,1,0.35,NA
NLA12_IA-106,1,0.575,NA
NLA12_ND-115,2,0.875,NA
NLA12_NV-141,1,NA,NA
NLA12_WI-140,1,1,Y
NLA12_MD-102,1,0.45,NA
NLA12_DE-105,1,NA,Y
NLA12_KS-126,1,0.045,NA
NLA12_IA-R03,1,2.25,NA
NLA12_IA-103,1,3.01,NA
NLA12_VA-R01,1,5.175,NA
NLA12_NV-193,1,2.225,NA
NLA12_TX-187,1,0.25,NA
NLA12_CO-102,1,7.09,NA
NLA12_KS-106,1,0.83,NA
NLA12_LA-141,1,0.15,NA
NLA12_MN-105,1,1.15,NA
NLA12_MT-126,1,NA,Y
NLA12_NJ-107,1,1.15,NA
NLA12_SD-106,1,1.3,NA
NLA12_TX-157,1,0.55,NA
NLA12_WV-113,1,1.25,NA
NLA12_SD-110,1,1.325,NA
NLA12_IL-110,1,1.325,NA
NLA12_NH-105,1,1.85,N
NLA12_CT-115,1,4.19,NA
NLA12_IA-R01,1,1,NA
NLA12_MN-109,1,1.45,NA
NLA12_VA-R17,1,4.015,NA
NLA12_MT-154,1,0.18,NA
NLA12_ID-194,1,1.05,N
NLA12_UT-173,1,2.41,NA
NLA12_UT-165,1,NA,Y
NLA12_WV-111,1,2.715,NA
NLA12_NV-109,1,3.85,NA
NLA12_KS-107,1,1.15,NA
NLA12_RI-104,1,1.15,NA
NLA12_PA-118,1,1.865,NA
NLA12_PA-109,1,NA,Y
NLA12_NY-0102,1,2.25,NA
NLA12_WV-R01,1,4.2,NA
NLA12_DE-102,1,0.325,NA
NLA12_MN-150,1,1.25,NA
NLA12_IA-R02,1,0.3,NA
NLA12_ND-102,1,0.44,NA
NLA12_OR-111,1,0.3,NA
NLA12_IA-113,1,1.475,NA
NLA12_TX-107,1,3.15,NA
NLA12_KS-121,1,0.485,NA
NLA12_ND-119,1,NA,Y
NLA12_ND-167,1,0.725,NA
NLA12_CT-102,1,6.85,NA
NLA12_LA-134,2,1.05,NA
NLA12_NH-103,1,6.45,N
NLA12_TX-105,1,0.69,NA
NLA12_ND-187,1,1.65,NA
NLA12_LA-101,2,0.85,NA
NLA12_UT-186,1,1.14,NA
NLA12_UT-141,1,0.15,NA
NLA12_MN-138,1,0.95,NA
NLA12_SD-102,1,1.05,NA
NLA12_CO-114,1,1.395,NA
NLA12_CO-131,1,3.65,NA
NLA12_MN-153,1,2.45,NA
NLA12_WV-112,1,0.425,NA
NLA12_MT-142,1,NA,Y
NLA12_GA-118,1,4.035,NA
NLA12_MD-105,1,1.1,NA
NLA12_IA-150,1,1.175,NA
NLA12_LA-172,1,0.45,NA
NLA12_OK-103,1,0.95,NA
NLA12_OH-103,1,2.03,NA
NLA12_WA-118,1,3.75,NA
NLA12_UT-148,1,0.15,NA
NLA12_KS-122,1,0.6,NA
NLA12_RI-102,1,1.1,Y
NLA12_ID-168,1,4.7,N
NLA12_KY-107,2,1.35,NA
NLA12_ID-141,1,5,N
NLA12_UT-125,1,5.775,NA
NLA12_KY-116,1,1.9,NA
NLA12_KY-101,2,3.45,NA
NLA12_VT-112,1,1.45,NA
NLA12_ID-113,1,2.35,N
NLA12_ID-101,1,4.6,N
NLA12_SD-183,1,0.65,NA
NLA12_ND-196,1,0.84,N
NLA12_UT-260,1,3.05,NA
NLA12_RI-111,1,2.15,NA
NLA12_MD-101,1,4.65,NA
NLA12_KS-101,2,0.045,NA
NLA12_ID-209,1,4.6,Y
NLA12_ID-175,1,0.225,N
NLA12_CO-108,1,NA,Y
NLA12_IA-152,1,1.125,NA
NLA12_ND-106,1,2.65,NA
NLA12_WA-157,1,NA,Y
NLA12_WA-121,1,4.2,NA
NLA12_MO-108,1,2.865,NA
NLA12_WY-104,1,6.875,NA
NLA12_WY-107,1,2.125,NA
NLA12_MI-111,1,1.25,NA
NLA12_MI-114,1,2.3,NA
NLA12_MI-135,1,2.85,NA
NLA12_MI-155,1,1.45,NA
NLA12_WY-130,1,2.5,NA
NLA12_IA-104,1,1.6,NA
NLA12_CA-101,1,1.625,NA
NLA12_GA-105,1,3.24,NA
NLA12_MT-107,1,1.2,NA
NLA12_OK-105,1,0.275,NA
NLA12_WY-105,1,2.5,NA
NLA12_OR-104,1,1.35,NA
NLA12_OK-106,1,0.425,NA
NLA12_ND-101,2,0.55,NA
NLA12_IA-127,1,0.81,NA
NLA12_MO-R02,1,2.75,NA
NLA12_NJ-131,1,0.85,Y
NLA12_MN-147,1,2.875,NA
NLA12_VA-111,1,0.61,NA
NLA12_VA-101,1,0.665,NA
NLA12_WA-138,1,3.15,NA
NLA12_VT-R01,1,NA,Y
NLA12_UT-169,1,0.8,NA
NLA12_NJ-118,1,1.4,NA
NLA12_OK-117,1,0.275,NA
NLA12_MN-123,1,0.7,NA
NLA12_SD-126,1,2.75,NA
NLA12_TX-176,1,0.35,NA
NLA12_CA-180,1,4.9,NA
NLA12_MT-143,1,3.4,NA
NLA12_ND-134,1,0.64,NA
NLA12_ND-107,1,0.55,NA
NLA12_MO-R01,1,4.9,NA
NLA12_WY-135,1,2.625,NA
NLA12_WY-131,1,2.95,NA
NLA12_CT-104,1,1.45,NA
NLA12_RI-110,1,0.625,NA
NLA12_VA-121,1,0.53,NA
NLA12_VA-105,1,0.885,NA
NLA12_VT-R02,1,9.32,NA
NLA12_UT-210,1,3.275,NA
NLA12_OR-169,1,4.05,NA
NLA12_CO-115,1,NA,Y
NLA12_MI-101,1,2.65,NA
NLA12_NH-102,1,1.75,N
NLA12_OH-136,1,0.34,NA
NLA12_OK-302,1,2.19,NA
NLA12_SD-158,1,0.475,NA
NLA12_TX-170,1,0.65,NA
NLA12_TX-190,1,0.55,NA
NLA12_PA-105,1,2.605,NA
NLA12_PA-110,1,0.85,NA
NLA12_MN-101,1,2.05,NA
NLA12_IA-134,1,0.435,NA
NLA12_CA-105,1,0.65,NA
NLA12_MO-115,1,1.385,NA
NLA12_MT-108,1,0.625,NA
NLA12_NV-105,1,0.63,NA
NLA12_NV-119,1,1.4,NA
NLA12_NV-104,1,0.675,NA
NLA12_RI-112,1,1.15,NA
NLA12_MN-116,1,0.7,NA
NLA12_WA-141,1,3.3,NA
NLA12_RI-113,1,1.3,NA
NLA12_SD-111,1,4,NA
NLA12_NJ-102,1,0.95,NA
NLA12_NJ-119,1,2.4,NA
NLA12_UT-101,2,1.9,Y
NLA12_UT-222,1,1.35,NA
NLA12_UT-137,1,2.01,NA
NLA12_ID-112,1,3.1,NA
NLA12_ID-102,1,NA,Y
NLA12_ID-108,1,3.275,NA
NLA12_ID-207,1,1.975,NA
NLA12_CA-R13,1,10.5,NA
NLA12_CO-101,1,0.415,NA
NLA12_NY-R02,1,7.6,NA
NLA12_TX-136,1,0.35,NA
NLA12_WA-101,1,0.94,NA
NLA12_ID-165,1,2.5,NA
NLA12_ID-121,1,NA,Y
NLA12_ID-105,1,2.55,NA
NLA12_NY-0106,1,4.35,NA
NLA12_VA-109,2,NA,Y
NLA12_SD-134,1,NA,NA
NLA12_CA-R12,1,5.5,NA
NLA12_TX-111,1,0.95,NA
NLA12_NY-0110,1,3.35,NA
NLA12_OR-113,1,2.5,NA
NLA12_CA-190,1,0.315,NA
NLA12_NJ-104,1,0.85,NA
NLA12_NJ-101,1,1.15,NA
NLA12_IL-118,1,0.365,NA
NLA12_MD-115,1,0.35,NA
NLA12_CT-118,1,4.35,NA
NLA12_UT-294,1,6.225,NA
NLA12_OR-123,1,3,NA
NLA12_AL-102,1,0.675,NA
NLA12_CA-154,1,0.39,NA
NLA12_CA-R06,1,6,Y
NLA12_NH-111,1,2.85,NA
NLA12_OH-118,1,1.195,NA
NLA12_RI-103,1,1.9,NA
NLA12_VA-118,1,0.12,NA
NLA12_SD-108,1,0.75,NA
NLA12_IA-101,2,0.385,NA
NLA12_MN-113,1,0.3,NA
NLA12_TX-112,1,0.85,NA
NLA12_TX-152,1,0.1,NA
NLA12_IL-104,1,1.45,NA
NLA12_OR-155,1,2.05,NA
NLA12_MI-144,1,NA,Y
NLA12_CA-R10,1,2.35,NA
NLA12_MO-103,1,1.15,NA
NLA12_WA-126,1,4.475,NA
NLA12_WA-112,1,2.355,NA
NLA12_WA-108,1,3.59,NA
NLA12_VA-110,1,1.65,NA
NLA12_VA-103,1,1.28,NA
NLA12_CA-167,1,4.865,NA
NLA12_RI-108,1,2.145,NA
NLA12_TX-201,1,1.32,NA
NLA12_NY-0109,1,0.785,NA
NLA12_SD-105,1,1.775,NA
NLA12_IN-146,1,2.8,NA
NLA12_PA-114,1,5.35,NA
NLA12_NV-177,1,3.3,NA
NLA12_NV-137,1,0.31,NA
NLA12_NV-119,2,NA,Y
NLA12_NV-101,2,0.25,NA
NLA12_IL-106,1,0.71,NA
NLA12_NY-0111,1,3.85,NA
NLA12_OK-296,1,0.355,NA
NLA12_NY-R08,1,2.05,NA
NLA12_IN-116,1,4.45,NA
NLA12_CA-R05,1,NA,Y
NLA12_AZ-140,1,0.85,NA
NLA12_AL-R03,1,1.675,NA
NLA12_AL-103,1,0.775,NA
NLA12_OH-127,1,2.63,NA
NLA12_NH-109,1,7.65,NA
NLA12_ME-R11,1,2.825,NA
NLA12_MD-103,1,1.55,NA
NLA12_TX-182,1,1.95,NA
NLA12_RI-111,2,1.75,NA
NLA12_NV-144,1,NA,Y
NLA12_GA-102,1,0.3,NA
NLA12_ME-114,1,4.05,NA
NLA12_MT-106,1,6.05,NA
NLA12_CO-119,1,10.4,NA
NLA12_CO-106,1,2.95,NA
NLA12_CA-R01,1,4.85,NA
NLA12_NY-R04,1,0.65,NA
NLA12_NY-R11,1,4.85,NA
NLA12_CA-111,1,3.725,NA
NLA12_NE-101,1,0.65,NA
NLA12_ND-114,1,0.8,NA
NLA12_SD-133,1,0.6,NA
NLA12_PA-R10,1,5.75,NA
NLA12_PA-R11,1,2.4,NA
NLA12_OK-306,1,1.3,NA
NLA12_CA-200,1,10.2,Y
NLA12_UT-203,1,9.055,NA
NLA12_AL-104,1,0.75,NA
NLA12_NE-106,1,0.35,NA
NLA12_IN-108,1,0.965,NA
NLA12_IA-120,2,0.545,NA
NLA12_MS-103,1,0.8,NA
NLA12_AL-101,2,1.3,NA
NLA12_AL-112,1,1.05,NA
NLA12_AL-R05,1,1.65,NA
NLA12_NY-R07,1,0.45,NA
NLA12_VA-R14,1,3.25,NA
NLA12_CA-R03,1,3.45,NA
NLA12_NH-101,2,3.15,NA
NLA12_MN-126,1,2.2,NA
NLA12_WY-124,1,8.875,NA
NLA12_ND-109,1,1.9,NA
NLA12_IL-120,1,0.95,NA
NLA12_ME-R08,1,5.9,NA
NLA12_ME-R02,1,NA,Y
NLA12_AR-101,1,0.55,NA
NLA12_AL-105,2,0.525,NA
NLA12_CO-129,1,2.1,Y
NLA12_CA-R02,1,3.5,NA
NLA12_OK-119,1,0.49,NA
NLA12_MN-141,1,3.7,NA
NLA12_MS-126,1,0.45,NA
NLA12_NE-110,1,0.15,NA
NLA12_WY-102,1,1.5,NA
NLA12_AR-105,1,1.55,NA
NLA12_VA-104,1,1.2,NA
NLA12_MN-110,1,1.8,NA
NLA12_ID-210,1,9.1,NA
NLA12_ID-145,1,7.1,NA
NLA12_SD-189,1,0.725,NA
NLA12_MO-101,1,0.375,NA
NLA12_ND-149,1,0.345,NA
NLA12_ND-164,1,0.325,NA
NLA12_MN-R12,1,2.51,Y
NLA12_ME-134,1,2.68,NA
NLA12_NY-R06,1,1.975,NA
NLA12_NY-R03,1,3.475,NA
NLA12_CA-166,1,NA,Y
NLA12_CA-112,1,4.81,NA
NLA12_MN-157,1,0.45,NA
NLA12_ME-R15,1,5.475,NA
NLA12_ME-R06,1,8.23,NA
NLA12_ME-R10,1,7.075,NA
NLA12_MN-R01,1,4.35,NA
NLA12_MS-105,1,1.35,NA
NLA12_NE-129,1,0.25,NA
NLA12_NH-112,2,3.35,NA
NLA12_IN-160,1,2.2,NA
NLA12_IN-172,1,4.7,NA
NLA12_IN-128,1,2.4,NA
NLA12_IL-109,1,0.875,NA
NLA12_ND-193,1,0.4,NA
NLA12_CT-107,1,2.25,NA
NLA12_SD-165,1,2.55,NA
NLA12_GA-104,1,2.315,NA
NLA12_VA-126,1,0.7,NA
NLA12_AL-114,1,0.65,NA
NLA12_SD-132,1,0.83,NA
NLA12_GA-R01,1,1.6,NA
NLA12_IA-102,1,0.83,NA
NLA12_ME-109,1,2.875,NA
NLA12_MN-R13,1,2.02,NA
NLA12_NV-R01,1,4.5,Y
NLA12_RI-102,2,1,Y
NLA12_MT-160,1,1.45,NA
NLA12_MT-156,1,4.04,NA
NLA12_ME-R03,1,3.925,NA
NLA12_AZ-107,1,0.225,NA
NLA12_CO-125,1,5.75,NA
NLA12_ID-142,1,1.1,Y
NLA12_ID-158,1,11.6,NA
NLA12_ID-215,1,9.9,NA
NLA12_ND-129,1,0.33,NA
NLA12_TX-114,1,0.35,NA
NLA12_NY-0108,1,1.1,NA
NLA12_TX-205,1,1.46,Y
NLA12_WY-120,1,3,NA
NLA12_WY-117,1,NA,Y
NLA12_WY-103,1,11.875,NA
NLA12_MN-R14,1,1.645,NA
NLA12_MS-101,2,0.475,NA
NLA12_MS-112,1,1.05,NA
NLA12_MS-125,1,0.35,NA
NLA12_SD-212,1,2.15,NA
NLA12_ND-103,1,0.83,NA
NLA12_VT-103,1,3.05,NA
NLA12_ND-172,1,0.525,NA
NLA12_MD-118,1,NA,Y
NLA12_OH-R02,1,3.5,NA
NLA12_CA-145,1,1.96,NA
NLA12_FL-103,1,0.125,NA
NLA12_FL-108,1,0.65,NA
NLA12_FL-R06,1,0.475,NA
NLA12_ID-166,1,2.475,NA
NLA12_ME-110,1,6.95,NA
NLA12_MS-128,1,1.2,NA
NLA12_SD-107,1,2.325,NA
NLA12_VA-102,1,0.65,NA
NLA12_WA-R08,1,3.7,NA
NLA12_ND-160,1,1.65,NA
NLA12_NH-107,1,2.15,NA
NLA12_IN-127,1,0.55,NA
NLA12_ID-110,1,2.4,NA
NLA12_SD-119,1,0.55,NA
NLA12_MD-108,1,0.75,NA
NLA12_ND-194,1,0.11,NA
NLA12_OR-129,1,3.85,NA
NLA12_CA-128,1,2.18,NA
NLA12_VA-119,1,0.29,NA
NLA12_VA-R06,1,3.45,NA
NLA12_ME-106,1,3.685,NA
NLA12_MS-113,1,2.75,NA
NLA12_OH-102,1,0.25,NA
NLA12_MN-104,1,2.9,Y
NLA12_MN-131,1,1.1,Y
NLA12_IN-111,1,1.05,NA
NLA12_WY-R02,1,4.9,NA
NLA12_MN-143,1,0.6,NA
NLA12_CT-126,1,3.74,NA
