SITE_ID,VISIT_NO,UID,INDEX_SITE_DEPTH
NLA12_ND-103,1,7518,3.1
NLA12_ND-104,1,6475,6.5
NLA12_ND-105,1,8156,12.4
NLA12_ND-106,1,6981,3.9
NLA12_ND-107,1,7068,2.3
NLA12_ND-108,1,6645,1.9
NLA12_ND-109,1,7384,4.5
NLA12_ND-110,1,6566,1.8
NLA12_ND-112,1,6217,6
NLA12_ND-113,1,8127,2.7
NLA12_ND-114,1,7350,1.9
NLA12_ND-115,1,6189,9
NLA12_ND-115,2,6774,10
NLA12_ND-118,1,6476,4
NLA12_ND-119,1,6852,2
NLA12_ND-126,1,6654,2
NLA12_ND-129,1,7482,2.1
NLA12_ND-131,1,7707,15
NLA12_ND-134,1,7067,5.1
NLA12_ND-139,1,6538,3.5
NLA12_ND-145,1,7701,3
NLA12_ND-146,1,6546,2.3
NLA12_ND-149,1,7417,4.3
NLA12_ND-151,1,6697,2.5
NLA12_ND-155,1,6693,1.7
NLA12_ND-156,1,7858,4.5
NLA12_ND-160,1,7543,3.1
NLA12_ND-162,1,6577,3
NLA12_ND-163,1,6599,2.5
NLA12_ND-164,1,7418,4.8
NLA12_ND-167,1,6853,4
NLA12_ND-172,1,7526,3.3
NLA12_ND-173,1,6717,2.8
NLA12_ND-178,1,6594,7.5
NLA12_ND-186,1,6636,1.5
NLA12_ND-187,1,6865,10.7
NLA12_ND-190,1,7649,1.1
NLA12_ND-193,1,7449,3.4
NLA12_ND-194,1,7559,2.4
NLA12_ND-196,1,6964,4
NLA12_ND-198,1,7645,1.9
NLA12_ND-199,1,8150,1.9
NLA12_ND-202,1,7644,2.1
NLA12_NE-101,1,7344,10.2
NLA12_NE-101,2,8229,8.8
NLA12_NE-102,1,8067,1.6
NLA12_NE-103,1,1000085,4.4
NLA12_NE-104,1,1000088,2.7
NLA12_NE-105,1,8028,3
NLA12_NE-106,1,7369,2.8
NLA12_NE-107,1,7775,1.1
NLA12_NE-108,1,8029,1.6
NLA12_NE-109,1,1000084,6
NLA12_NE-110,1,7405,1.5
NLA12_NE-111,1,7830,2.4
NLA12_NE-112,1,7840,1.4
NLA12_NE-113,1,8066,2.5
NLA12_NE-114,1,1000086,10.5
NLA12_NE-121,1,7960,1.6
NLA12_NE-125,1,7926,1.5
NLA12_NE-127,1,8159,1
NLA12_NE-129,1,7435,2
NLA12_NE-129,2,8279,2.2
NLA12_NE-133,1,1000093,1.2
NLA12_NE-135,1,8124,1
NLA12_NE-149,1,8243,1.4
NLA12_NE-154,1,8220,2.5
NLA12_NE-156,1,8221,1
NLA12_NE-157,1,8301,21.6
NLA12_NE-158,1,8326,2.9
NLA12_NE-160,1,8186,7.5
NLA12_NE-166,1,8242,5.3
NLA12_NE-170,1,8248,3.5
NLA12_NH-101,1,6670,6.1
NLA12_NH-101,2,7380,5.8
NLA12_NH-102,1,7104,3.1
NLA12_NH-103,1,6858,43.9
NLA12_NH-104,1,6601,9.1
NLA12_NH-105,1,6812,2.5
NLA12_NH-107,1,7544,2.4
NLA12_NH-108,1,6549,2.7
NLA12_NH-109,1,7295,18.9
NLA12_NH-111,1,7231,5.5
NLA12_NH-112,1,6715,4.1
NLA12_NH-112,2,7441,4.1
NLA12_NH-115,1,1000130,4.3
NLA12_NJ-101,1,7210,5.6
NLA12_NJ-101,2,8659,2.8
NLA12_NJ-102,1,7151,2.4
NLA12_NJ-103,1,8676,7.5
NLA12_NJ-104,1,7209,3.6
NLA12_NJ-105,1,8545,1.4
NLA12_NJ-106,1,8591,4.4
NLA12_NJ-107,1,6800,2.9
NLA12_NJ-108,1,8761,2.1
NLA12_NJ-118,1,7058,4.3
NLA12_NJ-119,1,7152,3.1
NLA12_NJ-131,1,7043,1.6
NLA12_NJ-131,2,8640,1.8
NLA12_NM-104,1,6372,20.5
NLA12_NM-104,2,8052,14
NLA12_NM-105,1,6361,1.6
NLA12_NM-117,1,6403,9.4
NLA12_NM-117,2,8073,8.8
NLA12_NM-129,1,6507,14
NLA12_NM-132,1,6319,3.2
NLA12_NM-133,1,6412,1.9
NLA12_NM-134,1,6500,16.9
NLA12_NM-138,1,6501,8
NLA12_NM-150,1,6477,1.9
NLA12_NM-152,1,6341,1
NLA12_NM-160,1,6532,3.4
NLA12_NM-161,1,8048,2.5
NLA12_NM-162,1,8053,5.8
NLA12_NV-101,1,6482,1.1
NLA12_NV-101,2,7278,1
NLA12_NV-102,1,6720,2.1
NLA12_NV-103,1,6719,2
NLA12_NV-104,1,7137,6.2
NLA12_NV-105,1,7135,5.2
NLA12_NV-106,1,6481,1.2
NLA12_NV-109,1,6829,44.4
NLA12_NV-119,1,7136,3
NLA12_NV-119,2,7277,2.2
NLA12_NV-127,1,6617,2.2
NLA12_NV-137,1,7276,6.4
NLA12_NV-141,1,6775,4
NLA12_NV-144,1,7306,1.7
NLA12_NV-167,1,6618,1.5
NLA12_NV-177,1,7275,5.4
NLA12_NV-193,1,6793,3.9
NLA12_NY-0101,1,6694,42.3
NLA12_NY-0101,2,8546,43.7
NLA12_NY-0102,1,6834,3
NLA12_NY-0103,1,8647,5.8
NLA12_NY-0104,1,6576,2.6
NLA12_NY-0104,2,7954,2.5
NLA12_NY-0106,1,7190,7
NLA12_NY-0108,1,7490,1.7
NLA12_NY-0109,1,7266,4.8
NLA12_NY-0110,1,7206,4.6
NLA12_NY-0111,1,7284,5.7
NLA12_NY-0112,1,8597,3.8
NLA12_OH-101,1,8023,3.2
NLA12_OH-101,2,8387,3
NLA12_OH-102,1,7572,1
NLA12_OH-103,1,6923,9
NLA12_OH-104,1,8151,4.1
NLA12_OH-105,1,8635,1.5
NLA12_OH-106,1,8256,8.1
NLA12_OH-107,1,8075,4.2
NLA12_OH-112,1,8423,7.9
NLA12_OH-113,1,8642,3.2
NLA12_OH-115,1,8207,7.3
NLA12_OH-118,1,7232,5.2
NLA12_OH-118,2,8169,5.2
NLA12_OH-122,1,8487,3.9
NLA12_OH-127,1,7294,12
NLA12_OH-134,1,7652,2.6
NLA12_OH-136,1,7105,2.3
NLA12_OH-137,1,7637,12.5
NLA12_OK-101,1,6550,7.2
NLA12_OK-101,2,8482,8.4
NLA12_OK-102,1,8462,5
NLA12_OK-103,1,6919,16.5
NLA12_OK-104,1,6669,13
NLA12_OK-105,1,7023,1.7
NLA12_OK-106,1,7028,3.5
NLA12_OK-107,1,7959,9.6
NLA12_OK-108,1,6555,5.7
NLA12_OK-109,1,6695,4.6
NLA12_OK-117,1,7059,1
NLA12_OK-118,1,6270,2.5
NLA12_OK-119,1,7402,7.5
NLA12_OK-120,1,6668,5.2
NLA12_OK-121,1,6525,2.8
NLA12_OK-122,1,6236,2.2
NLA12_OK-132,1,7739,2.6
NLA12_OK-133,1,8358,1.5
NLA12_OK-134,1,6646,3.7
NLA12_OK-135,1,6556,6
NLA12_OK-285,1,8463,4.7
NLA12_OK-286,1,8393,1
NLA12_OK-288,1,7598,4
NLA12_OK-291,1,6551,1.3
NLA12_OK-292,1,7764,1.5
NLA12_OK-293,1,6318,2
NLA12_OK-296,1,7286,1.3
NLA12_OK-299,1,7262,13.2
NLA12_OK-299,2,8503,14.5
NLA12_OK-302,1,7106,5.5
NLA12_OK-306,1,7364,3.1
NLA12_OK-311,1,8481,5.5
NLA12_OR-101,1,1000021,4.3
NLA12_OR-102,1,7810,3.3
NLA12_OR-103,1,8165,3.8
NLA12_OR-103,2,8514,3.1
NLA12_OR-104,1,7027,5.5
NLA12_OR-105,1,7719,12.8
NLA12_OR-106,1,1000049,41.6
NLA12_OR-107,1,7615,14.8
NLA12_OR-109,1,7918,52.6
NLA12_OR-110,1,6667,16.5
NLA12_OR-111,1,6843,1
NLA12_OR-112,1,7776,8.6
NLA12_OR-113,1,7207,23.4
NLA12_OR-121,1,8074,7
NLA12_OR-121,2,8542,7.1
NLA12_OR-123,1,7226,11.3
NLA12_OR-126,1,8478,20
NLA12_OR-128,1,7949,53.7
NLA12_OR-129,1,7560,9
NLA12_OR-131,1,1000017,2.1
NLA12_OR-133,1,1000016,2.9
NLA12_OR-144,1,7995,1.6
NLA12_OR-145,1,7622,2.7
NLA12_OR-154,1,7747,8.4
NLA12_OR-155,1,7250,10.9
NLA12_OR-158,1,8634,1.5
NLA12_OR-160,1,8164,2.7
NLA12_OR-163,1,8633,2.1
NLA12_OR-167,1,1000211,5.2
NLA12_OR-169,1,7100,43.1
NLA12_OR-173,1,8479,5
NLA12_PA-101,1,6537,28.7
NLA12_PA-101,2,8507,17.7
NLA12_PA-102,1,6252,4.5
NLA12_PA-103,1,8324,8.2
NLA12_PA-105,1,7113,4.1
NLA12_PA-106,1,7596,25.4
NLA12_PA-107,1,6451,2.7
NLA12_PA-108,1,6347,7.3
NLA12_PA-108,2,7803,7.01
NLA12_PA-109,1,6833,3.1
NLA12_PA-110,1,7122,2.2
NLA12_PA-111,1,8201,6.1
NLA12_PA-113,1,7982,12.8
NLA12_PA-114,1,7269,8.4
NLA12_PA-115,1,8202,3.4
NLA12_PA-117,1,7595,1.4
NLA12_PA-118,1,6832,4.2
NLA12_PA-119,1,8422,17
NLA12_RI-102,1,6929,1.1
NLA12_RI-102,2,7466,1
NLA12_RI-103,1,7233,3.8
NLA12_RI-104,1,6831,2.1
NLA12_RI-108,1,7264,2.4
NLA12_RI-110,1,7092,2.2
NLA12_RI-111,1,6967,4.4
NLA12_RI-111,2,7305,4.3
NLA12_RI-112,1,7138,1.6
NLA12_RI-113,1,7149,2.1
NLA12_SC-102,1,7927,2.6
NLA12_SC-103,1,6444,28.2
NLA12_SC-103,2,8125,30.3
NLA12_SC-104,1,6320,1.9
NLA12_SC-104,2,8011,2
NLA12_SC-105,1,6321,2.6
NLA12_SC-106,1,6397,5.3
NLA12_SC-108,1,6326,2.5
NLA12_SC-112,1,6325,NA
NLA12_SC-112,2,7844,3.2
NLA12_SC-118,1,7862,4.8
NLA12_SC-127,1,8000,2.4
NLA12_SD-101,1,6362,28
NLA12_SD-101,2,7990,26.1
NLA12_SD-102,1,6871,5.5
NLA12_SD-103,1,8266,2.8
NLA12_SD-104,1,6445,6.2
NLA12_SD-105,1,7267,4
NLA12_SD-106,1,6804,7.4
NLA12_SD-107,1,7536,6.4
NLA12_SD-108,1,7238,3
NLA12_SD-109,1,8071,2.2
NLA12_SD-110,1,6808,7.5
NLA12_SD-111,1,7150,3.5
NLA12_SD-114,1,6543,1.5
NLA12_SD-115,1,6544,1.1
NLA12_SD-115,2,7940,1
NLA12_SD-119,1,7552,2
NLA12_SD-122,1,6446,1.7
NLA12_SD-124,1,6684,2.1
NLA12_SD-126,1,7062,2
NLA12_SD-130,1,6417,1
NLA12_SD-131,1,7856,1.8
NLA12_SD-132,1,7460,2
NLA12_SD-133,1,7357,1.4
NLA12_SD-134,1,7199,2.2
NLA12_SD-137,1,7730,2.2
NLA12_SD-138,1,6402,5.4
NLA12_SD-140,1,6685,2.2
NLA12_SD-141,1,8276,3.2
NLA12_SD-143,1,8010,2.8
NLA12_SD-146,1,8625,1
NLA12_SD-147,1,7714,4.7
NLA12_SD-150,1,8275,1
NLA12_SD-154,1,8176,3.2
NLA12_SD-157,1,8245,5
NLA12_SD-158,1,7107,3
NLA12_SD-162,1,8249,1.4
NLA12_SD-165,1,7451,3
NLA12_SD-166,1,6440,1.6
NLA12_SD-168,1,6634,4.8
NLA12_SD-170,1,8126,1.5
NLA12_SD-172,1,6683,2.2
NLA12_SD-182,1,6422,4.8
NLA12_SD-183,1,6963,7
NLA12_SD-189,1,7414,2
NLA12_SD-198,1,8311,1.3
NLA12_SD-212,1,7512,4.3
NLA12_TN-101,1,6393,3.8
NLA12_TN-101,2,8626,3.8
NLA12_TN-103,1,8614,4
NLA12_TN-104,1,8663,13.5
NLA12_TN-106,1,8502,3
NLA12_TN-108,1,6395,4
NLA12_TN-108,2,8602,4
NLA12_TN-113,1,6394,6.5
NLA12_TN-114,1,6381,1.6
NLA12_TN-114,2,8601,1.5
NLA12_TN-119,1,8600,10.8
NLA12_TN-122,1,8553,2.6
NLA12_TX-101,1,6735,1
NLA12_TX-101,2,8547,1
NLA12_TX-103,1,1000073,6
NLA12_TX-104,1,7734,0.8
NLA12_TX-105,1,6860,7.4
NLA12_TX-107,1,6849,3.4
NLA12_TX-109,1,1000053,2.5
NLA12_TX-110,1,1000026,10.5
NLA12_TX-111,1,7205,4.8
NLA12_TX-112,1,7244,2.5
NLA12_TX-113,1,7640,5.1
NLA12_TX-114,1,7483,4.5
NLA12_TX-116,1,7804,3.5
NLA12_TX-117,1,6666,3.5
NLA12_TX-117,2,1000048,3.2
NLA12_TX-118,1,8330,1.1
NLA12_TX-121,1,6586,10
NLA12_TX-124,1,1000060,10.5
NLA12_TX-128,1,7994,10.4
NLA12_TX-129,1,8762,3.3
NLA12_TX-135,1,1000022,1.5
NLA12_TX-136,1,7178,1.3
NLA12_TX-137,1,8413,12.5
NLA12_TX-141,1,1000014,9.2
NLA12_TX-144,1,6622,4.8
NLA12_TX-148,1,1000062,2.5
NLA12_TX-152,1,7247,1.7
NLA12_TX-157,1,6805,5.8
NLA12_TX-158,1,1000018,1.2
NLA12_TX-159,1,8480,3
NLA12_TX-160,1,6744,10.4
NLA12_TX-161,1,8655,1.3
NLA12_TX-165,1,6647,11
NLA12_TX-169,1,1000015,4
NLA12_TX-170,1,7108,2.2
NLA12_TX-176,1,7063,2.3
NLA12_TX-182,1,7304,4.4
NLA12_TX-187,1,6794,2.2
NLA12_TX-190,1,7109,2.9
NLA12_TX-195,1,6762,2.5
NLA12_TX-196,1,8811,2.9
NLA12_TX-199,1,8300,1
NLA12_TX-201,1,7265,1.6
NLA12_TX-202,1,8342,2.8
NLA12_TX-205,1,7496,1.5
NLA12_TX-218,1,8203,5.9
NLA12_TX-232,1,8646,19.3
NLA12_TX-234,1,8810,4.6
NLA12_TX-235,1,8665,3.1
NLA12_UT-101,1,6216,3
NLA12_UT-101,2,7153,2.1
NLA12_UT-102,1,6527,33
NLA12_UT-103,1,6194,34
NLA12_UT-104,1,6478,6.7
NLA12_UT-105,1,6665,15
NLA12_UT-108,1,6227,3.7
NLA12_UT-109,1,6575,3
NLA12_UT-110,1,6552,3
NLA12_UT-110,2,8446,3.4
NLA12_UT-112,1,6447,1.7
NLA12_UT-118,1,7798,6.3
NLA12_UT-122,1,8329,17
NLA12_UT-125,1,6944,6.3
NLA12_UT-126,1,7958,3.8
NLA12_UT-128,1,6449,1.5
NLA12_UT-137,1,7155,2.4
NLA12_UT-141,1,6869,2.7
NLA12_UT-147,1,7998,1.7
NLA12_UT-148,1,6926,1.1
NLA12_UT-159,1,7996,3.3
NLA12_UT-160,1,6731,6.4
NLA12_UT-165,1,6826,1.3
NLA12_UT-167,1,7593,1
NLA12_UT-169,1,7057,4.2
NLA12_UT-173,1,6825,14
NLA12_UT-186,1,6868,3.7
NLA12_UT-196,1,7643,4.1
NLA12_UT-203,1,7367,11
NLA12_UT-210,1,7097,8.4
NLA12_UT-218,1,7841,20
NLA12_UT-222,1,7154,2.2
NLA12_UT-229,1,8395,5
NLA12_UT-260,1,6966,4.3
NLA12_UT-264,1,8504,8
NLA12_UT-290,1,8447,1.8
NLA12_UT-294,1,7225,13
NLA12_UT-324,1,8360,16
NLA12_UT-325,1,8390,33
NLA12_UT-343,1,8508,4.9
NLA12_UT-359,1,8509,1.2
NLA12_UT-374,1,8321,16
NLA12_UT-392,1,8777,11.3
NLA12_UT-397,1,8765,1.5
NLA12_UT-400,1,8812,11
NLA12_UT-409,1,8787,1.1
NLA12_UT-412,1,8766,5.7
NLA12_UT-424,1,8776,1.4
NLA12_VA-101,1,7054,1.7
NLA12_VA-101,2,7635,2.3
NLA12_VA-102,1,7537,5.2
NLA12_VA-103,1,7260,7.5
NLA12_VA-104,1,7410,5.4
NLA12_VA-105,1,7095,3.2
NLA12_VA-106,1,7586,2.3
NLA12_VA-108,1,6553,3.5
NLA12_VA-109,1,6424,1.3
NLA12_VA-109,2,7196,1.8
NLA12_VA-110,1,7259,12
NLA12_VA-111,1,7053,3.8
NLA12_VA-112,1,7777,1.9
NLA12_VA-114,1,6587,3.9
NLA12_VA-116,1,6438,4.5
NLA12_VA-118,1,7237,1.6
NLA12_VA-119,1,7564,2.5
NLA12_VA-121,1,7094,4.5
NLA12_VA-123,1,7778,1.4
NLA12_VA-125,1,6568,35
NLA12_VA-126,1,7455,4.1
NLA12_VA-127,1,7963,2.2
NLA12_VA-130,1,7964,4.1
NLA12_VT-101,1,1000013,NA
NLA12_VT-101,2,1000110,16.5
NLA12_VT-102,1,1000020,12.1
NLA12_VT-103,1,7520,47
NLA12_VT-104,1,1000071,18
NLA12_VT-106,1,1000032,4.1
NLA12_VT-109,1,1000054,1.9
NLA12_VT-110,1,1000167,14.6
NLA12_VT-112,1,6953,4.3
NLA12_VT-112,2,8199,4.1
NLA12_VT-114,1,1000097,31
NLA12_VT-115,1,1000141,9.3
NLA12_WA-101,1,7179,1.4
NLA12_WA-101,2,8157,1.3
NLA12_WA-102,1,7685,1.5
NLA12_WA-103,1,8238,28.7
NLA12_WA-104,1,8496,8.2
NLA12_WA-106,1,1000087,4.65
NLA12_WA-107,1,1000107,18.6
NLA12_WA-108,1,7258,19.3
NLA12_WA-109,1,7915,28.5
NLA12_WA-110,1,8783,7
NLA12_WA-111,1,1000136,19.05
NLA12_WA-112,1,7257,8.4
NLA12_WA-114,1,8319,3.9
NLA12_WA-115,1,8391,11.6
NLA12_WA-116,1,8495,33
NLA12_WA-118,1,6925,5.1
NLA12_WA-120,1,8444,10.6
NLA12_WA-121,1,6984,13.3
NLA12_WA-124,1,8442,13.8
NLA12_WA-125,1,8182,4.3
NLA12_WA-126,1,7256,6.8
NLA12_WA-129,1,1000113,7.5
NLA12_WA-131,1,1000134,8.7
NLA12_WA-133,1,7956,2.9
NLA12_WA-133,2,8657,2.8
NLA12_WA-138,1,7055,13.8
NLA12_WA-141,1,7148,4.1
NLA12_WA-146,1,8291,5.2
NLA12_WA-147,1,1000194,7.5
NLA12_WA-151,1,8627,58.5
NLA12_WA-154,1,8782,2.8
NLA12_WA-157,1,6983,1.4
NLA12_WA-159,1,8552,12.6
NLA12_WI-101,1,1000023,9.5
NLA12_WI-101,2,1000154,9.4
NLA12_WI-102,1,1000028,20.1
NLA12_WI-103,1,1000116,7
NLA12_WI-104,1,1000121,15.8
NLA12_WI-106,1,1000188,7.2
NLA12_WI-107,1,1000135,25.2
NLA12_WI-108,1,1000109,9.2
NLA12_WI-109,1,8193,4.6
NLA12_WI-110,1,1000147,17
NLA12_WI-111,1,8430,6
NLA12_WI-112,1,1000108,3
NLA12_WI-112,2,1000204,3.6
NLA12_WI-113,1,1000039,15.5
NLA12_WI-115,1,8194,5
NLA12_WI-117,1,1000044,4.7
NLA12_WI-120,1,1000138,1
NLA12_WI-122,1,1000222,1.8
NLA12_WI-127,1,1000119,1.1
NLA12_WI-128,1,1000144,4
NLA12_WI-129,1,1000127,2.1
NLA12_WI-131,1,1000082,7.5
NLA12_WI-132,1,8427,1
NLA12_WI-133,1,8426,15.2
NLA12_WI-134,1,7808,1.7
NLA12_WI-135,1,8429,3
NLA12_WI-136,1,1000050,3.1
NLA12_WI-138,1,1000180,7.5
NLA12_WI-140,1,6776,1
NLA12_WI-142,1,1000217,4.1
NLA12_WI-144,1,7735,2.5
NLA12_WI-147,1,1000193,2.2
NLA12_WI-151,1,1000118,NA
NLA12_WI-152,1,1000034,16.3
NLA12_WI-153,1,1000218,2.4
NLA12_WI-154,1,1000083,8.1
NLA12_WI-155,1,1000115,1.8
NLA12_WI-157,1,1000223,5.7
NLA12_WI-161,1,7943,3.9
NLA12_WI-163,1,1000185,3.5
NLA12_WI-166,1,1000100,1.8
NLA12_WI-168,1,1000059,8.6
NLA12_WI-170,1,1000203,6.3
NLA12_WI-171,1,1000189,14.8
NLA12_WI-172,1,1000063,1.4
NLA12_WI-173,1,1000207,4
NLA12_WI-174,1,1000220,7.7
NLA12_WI-176,1,1000202,14.2
NLA12_WI-179,1,8192,9.1
NLA12_WI-181,1,8428,11.3
NLA12_WI-183,1,1000219,13.7
NLA12_WI-188,1,1000208,2.8
NLA12_WV-101,1,6692,6.1
NLA12_WV-101,2,8299,6.5
NLA12_WV-102,1,6554,9.9
NLA12_WV-105,1,8470,1.7
NLA12_WV-106,1,6590,16.5
NLA12_WV-111,1,6827,8.1
NLA12_WV-112,1,6877,2.5
NLA12_WV-112,2,8394,2.1
NLA12_WV-113,1,6806,3.6
NLA12_WV-115,1,6714,5.1
NLA12_WY-101,1,6991,3.4
NLA12_WY-101,2,8594,1.15
NLA12_WY-102,1,7406,53
NLA12_WY-103,1,7499,33.2
NLA12_WY-104,1,6999,34.3
NLA12_WY-105,1,7026,14.9
NLA12_WY-107,1,7000,2.9
NLA12_WY-115,1,7698,8.4
NLA12_WY-116,1,7859,13.5
NLA12_WY-117,1,7498,24
NLA12_WY-120,1,7497,29.6
NLA12_WY-124,1,7383,29.5
NLA12_WY-124,2,8631,NA
NLA12_WY-125,1,8458,26.8
NLA12_WY-130,1,7006,2.7
NLA12_WY-131,1,7089,3.5
NLA12_WY-133,1,7631,15.8
NLA12_WY-135,1,7088,2.5
NLA12_WY-137,1,8595,5.5
NLA12_WY-147,1,8629,18.5
NLA12_WY-151,1,1000206,17.3
